Epic	Feature	Item	
User Experience ? Booking Flow	Online booking form with fixed + customizable service options	Service Selection	9
		Time Selection	10
		Multi-Slot Jobs	8
		Booking Storage & Admin	10
		Integration & Dependencies	9
		UX Considerations	9
Option for clients to upload photos when booking	Option for clients to upload photos when booking	Upload Functionality	1
		Storage & Access	1
		Consent & Compliance	8
		User Experience	1
		Notifications & Integration	6
Ability to split a job into multiple bookings	Ability to split a job into multiple bookings	Job Definition	8
		Scheduling Logic	9
		Data Structure & Storage	10
		User Experience	7
		Payment & Invoicing	2
		Notifications & Rescheduling	8
"Parallel booking support (e.g., consultation during long job.md"	"Parallel booking support (e.g., consultation during long job.md"	Core Functionality	2
		Scheduling Rules	2
		User Experience	2
		Payment & Invoicing	1
		Admin Controls	2
		Notifications	2
Automated booking confirmations and reminders	Automated booking confirmations and reminders	Trigger Points	7
		Message Content	10
		 Delivery Channels	7
		Admin Controls	6
		Client Experience	5
		Compliance	3
